movie_id,imdb_id,title,year,genre,director,actors,plot,imdb_rating
11,tt0085794,The King of Comedy,1982,"Comedy, Crime, Drama",Martin Scorsese,"Robert De Niro, Jerry Lewis, Diahnne Abbott","Rupert is an aspiring stand-up comedian, who is willing to go the extra mile in his attempt to appear in the late night show hosted by his idol.",7.8
12,tt0084329,A Midsummer Night's Sex Comedy,1982,Comedy,Woody Allen,"Woody Allen, Mia Farrow, José Ferrer","In the early 20th century, wacky inventor Andrew Hobbs and his wife Adrian invite two other couples for a weekend party at their romantic summer house in the countryside in this paean to Ingmar Bergman's Smiles of a Summer Night.",6.6
13,tt0109440,Fear City: A Family-Style Comedy,1994,"Comedy, Horror",Alain Berbérian,"Chantal Lauby, Alain Chabat, Dominique Farrugia","A second-class horror movie has to be shown at Cannes Film Festival, but, before each screening, the projectionist is killed by a mysterious fellow, with hammer and sickle, just as it happens in the film to be shown.",7.5
14,tt0222850,The Broken Hearts Club: A Romantic Comedy,2000,"Comedy, Drama, Romance",Greg Berlanti,"Timothy Olyphant, Dean Cain, Zach Braff",An insight into the turbulent lives and loves of a gay clique based in Los Angeles.,6.9
15,tt0188766,King of Comedy,1999,"Comedy, Drama, Romance","Stephen Chow, Lik-Chi Lee","Stephen Chow, Karen Mok, Cecilia Cheung","A bar girl hires a struggling actor to give her acting lessons so that she can feign a greater interest in her customers. The longer they work together, the more they find they have in common.",7.2
16,tt0056943,The Comedy of Terrors,1963,"Comedy, Horror",Jacques Tourneur,"Vincent Price, Peter Lorre, Boris Karloff",Dishonest undertaker Waldo Trumbull and his sidekick Felix Gillie are creating their own customers when they cannot find willing ones.,6.5
17,tt4368814,Louis C.K.: Live at the Comedy Store,2015,Comedy,Louis C.K.,"Louis C.K., Jay London",Comedian Louis C.K. performs live at the Comedy store in LA.,7.8
18,tt0236388,The Original Kings of Comedy,2000,"Comedy, Documentary",Spike Lee,"Steve Harvey, D.L. Hughley, Cedric The Entertainer",A concert film featuring four major African American stand up comedians.,6.8
19,tt1985970,Comedy Central Roast of Charlie Sheen,2011,"Documentary, Comedy",Joel Gallen,"Charlie Sheen, Seth MacFarlane, Kate Walsh",It's Charlie Sheen's turn to step in to the celebrity hot seat for the latest installment of The Comedy Central Roast.,7.7
20,tt2112293,The Comedy,2012,"Comedy, Drama",Rick Alverson,"Tim Heidecker, Eric Wareheim, James Murphy","Indifferent to the notion of inheriting his father's estate, a restless, aging New Yorker passes time with his friends in games of mock sincerity and irreverence.",6.3
21,tt0361467,Confessions of a Teenage Drama Queen,2004,"Comedy, Family, Music",Sara Sugarman,"Lindsay Lohan, Megan Fox, Adam Garcia","A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",4.7
22,tt0014624,A Woman of Paris: A Drama of Fate,1923,"Drama, Romance",Charles Chaplin,"Edna Purviance, Clarence Geldert, Carl Miller",A kept woman runs into her former fiancé and finds herself torn between love and comfort.,6.9
23,tt0446724,Kim Possible: So the Drama,2005,"Animation, Action, Adventure",Steve Loter,"Christy Carlson Romano, Will Friedle, Nancy Cartwright","Kim's heart is quickly captured by the new boy, Eric, who soon becomes her boyfriend. Unknown to Kim, her best friend and sidekick, Ron has developed stronger feelings toward her.",7.1
24,tt1833845,Eating Out: Drama Camp,2011,Comedy,Q. Allan Brocka,"Chris Salvatore, Daniel Skelton, Aaron Milo",Temptations at a drama camp threaten a gay relationship that may already be cooling.,5.3
25,tt7117870,Love Action Drama,2019,"Comedy, Romance",Dhyan Sreenivasan,"Nivin Pauly, Nayanthara, Aju Varghese",A man goes through all kinds of action to impress the girl he is in love with a hope to marry her.,5.2
26,tt0808237,Drama/Mex,2006,Drama,Gerardo Naranjo,"Fernando Becerril, Diana García, Miriana Moro","Two interlaced stories unfold over the course of the same long, hot day in the once lush and now decadent resort town of Acapulco. The first involves the beautiful and cool Fernanda, who is forced to deal with the sudden emergence...",5.9
27,tt32832440,Family Drama,2024,N/A,Akarsh,"Aashith, Abhay, Abhishek V","Dysfunctional family torn apart by selfishness and misguided schemes, each member pursuing their own agenda with disastrous consequences.",5.9
28,tt0017743,Chang: A Drama of the Wilderness,1927,"Documentary, Adventure, Drama","Merian C. Cooper, Ernest B. Schoedsack","Kru, Chantui, Nah",A snapshot of life in the jungles of Northern Siam.,6.9
29,tt14833702,A Little Daytime Drama,2021,"Comedy, Romance",Heather Hawthorn Doyle,"Jen Lilley, Ryan Paevey, Linda Dano","In order to save her daytime soap drama from cancellation, head writer Maggie must convince Darin (her real-life ex-boyfriend) to return to the show.",6.4
30,tt1365451,Drama,2010,Drama,Matias Lira,"Eusebio Arenas, Diego Ruiz, Isidora Urrejola","Three theater students, influenced by a professor and French theorist Antonin Artaud's acting technique, begin to experiment with their own lives, searching for real emotions and situations to bring onto the stage. Their obsession...",4.9
31,tt0800191,The Sci-Fi Boys,2006,Documentary,Paul Davids,"Peter Jackson, Ray Harryhausen, Leonard Maltin",A chronicle of the impact early movie special effects had on star creators of future sci-fi films.,6.9
32,tt0419759,From Stargate to Atlantis: Sci Fi Lowdown,2004,Documentary,John Murphy,"Richard Dean Anderson, Michael Shanks, Amanda Tapping",N/A,7.3
33,tt0901512,Sci Fi Inside: 'the Triangle',2005,Sci-Fi,N/A,"Catherine Bell, Sean Cameron Michael, Sam Neill",Billionaire Eric Benirall hires a team of experts to find out why six of his ships have disappeared in the Bermuda Triangle.,7.1
34,tt0861734,Sci Fi Inside: Stargate SG-1 200th Episode,2006,Documentary,N/A,"Gary Jones, Robert C. Cooper, Claudia Black",N/A,8.3
35,tt0482592,Sci Fi Inside: 'Serenity',2005,Documentary,N/A,"Morena Baccarin, Adam Baldwin, Christopher Buchanan","A documentary aired on The Sci Fi Channel about the movie Serenity (2005) and the fandom of Firefly (2002), the series that it was based on. Features interviews with the cast and crew.",8.0
